ONTOLOGY_NAME,FORGETTING_METHOD,FORGETTING_STRATEGY,FORMULA_ID,JUSTIFICATION_ID,FORMULA_SIZE,JUSTIFICATION_SIZE,STRATEGY_STEP_COUNT,EXPLANATION_LENGTH,JUSTIFICATION_INCREASE_AMOUNT,SUCCESSFUL_EXPLANATION
pizza,AlchTBoxForgetter,2,0,1,2,4,4,4,1,1
pizza,AlchTBoxForgetter,2,0,0,2,5,5,4,1,1
pizza,AlchTBoxForgetter,2,1,7,2,8,9,9,0,0
pizza,AlchTBoxForgetter,2,1,6,2,8,9,9,0,0
pizza,AlchTBoxForgetter,2,1,4,2,6,6,6,0,1
pizza,AlchTBoxForgetter,2,1,5,2,6,7,7,0,1
pizza,AlchTBoxForgetter,2,1,1,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,1,0,2,4,3,3,0,1
pizza,AlchTBoxForgetter,2,1,2,2,6,6,6,0,0
pizza,AlchTBoxForgetter,2,1,3,2,6,6,6,0,0
pizza,AlchTBoxForgetter,2,1,17,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,1,16,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,1,14,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,1,15,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,1,8,2,6,7,7,0,1
pizza,AlchTBoxForgetter,2,1,11,2,6,7,7,0,1
pizza,AlchTBoxForgetter,2,1,10,2,6,6,6,0,0
pizza,AlchTBoxForgetter,2,1,9,2,8,8,8,0,0
pizza,AlchTBoxForgetter,2,1,12,2,8,9,9,0,0
pizza,AlchTBoxForgetter,2,1,13,2,4,4,4,0,1
pizza,AlchTBoxForgetter,2,2,10,2,5,5,5,0,0
pizza,AlchTBoxForgetter,2,2,6,2,7,8,8,0,0
pizza,AlchTBoxForgetter,2,2,7,2,7,8,8,0,0
pizza,AlchTBoxForgetter,2,2,11,2,5,6,6,0,1
pizza,AlchTBoxForgetter,2,2,13,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,5,2,5,6,6,0,1
pizza,AlchTBoxForgetter,2,2,4,2,5,5,5,0,1
pizza,AlchTBoxForgetter,2,2,12,2,7,8,8,0,0
pizza,AlchTBoxForgetter,2,2,16,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,0,2,3,2,2,0,1
pizza,AlchTBoxForgetter,2,2,1,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,17,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,15,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,3,2,5,5,5,0,0
pizza,AlchTBoxForgetter,2,2,2,2,5,5,5,0,0
pizza,AlchTBoxForgetter,2,2,14,2,3,3,3,0,1
pizza,AlchTBoxForgetter,2,2,9,2,7,7,7,0,0
pizza,AlchTBoxForgetter,2,2,8,2,5,6,6,0,1
pizza,AlchTBoxForgetter,2,3,3,2,9,14,14,19,0
pizza,AlchTBoxForgetter,2,3,2,2,13,18,18,25,0
pizza,AlchTBoxForgetter,2,3,0,2,10,15,15,19,0
pizza,AlchTBoxForgetter,2,3,1,2,14,19,19,25,0
pizza,AlchTBoxForgetter,2,4,0,2,5,5,5,1,1
pizza,AlchTBoxForgetter,2,4,1,2,4,4,4,1,1
pizza,AlchTBoxForgetter,2,5,0,2,1,0,0,0,1
